,Clone 22 mRNA; alternative splice variant alpha-1,Liver mRNA for interferon-gamma inducing factor(IGIF),INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL1,CRYZ Crystallin zeta (quinone reductase),Inducible protein mRNA,FTL Ferritin; light polypeptide,LYN V-yes-1 Yamaguchi sarcoma viral related oncogene homolog,Neuromedin B mRNA,CD33 CD33 antigen (differentiation antigen),CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage),FAH Fumarylacetoacetate,LGALS3 Lectin; galactoside-binding; soluble; 3 (galectin 3) (NOTE: redefinition of symbol),ATP6C Vacuolar H+ ATPase proton channel subunit,CTSD Cathepsin D (lysosomal aspartyl protease),MAJOR HISTOCOMPATIBILITY COMPLEX ENHANCER-BINDING PROTEIN MAD3,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE; MITOCHONDRIAL PRECURSOR,CDC25A Cell division cycle 25A,DF D component of complement (adipsin),ACADM Acyl-Coenzyme A dehydrogenase; C-4 to C-12 straight chain,CCND3 Cyclin D3,Azurocidin gene,HKR-T1,MB-1 gene,Thrombospondin-p50 gene extracted from Human thrombospondin-1 gene; partial cds,Cytoplasmic dynein light chain 1 (hdlc1) mRNA,Phosphotyrosine independent ligand p62 for the Lck SH2 domain mRNA,Leukotriene C4 synthase (LTC4S) gene,GB DEF = Homeodomain protein HoxA9 mRNA,Catalase (EC 1.11.1.6) 5'flank and exon 1 mapping to chromosome 11; band p13 (and joined CDS),IRF2 Interferon regulatory factor 2,PRG1 Proteoglycan 1; secretory granule,CTPS CTP synthetase,PROTEASOME IOTA CHAIN,GTF2E2 General transcription factor TFIIE beta subunit; 34 kD,RETINOBLASTOMA BINDING PROTEIN P48,Zyxin,MCM3 Minichromosome maintenance deficient (S. cerevisiae) 3,TOP2B Topoisomerase (DNA) II beta (180kD),Transcriptional activator hSNF2b,MCM3 Minichromosome maintenance deficient (S. cerevisiae) 3,C-myb gene extracted from Human (c-myb) gene; complete primary cds; and five complete alternatively spliced cds,Interleukin 8 (IL8) gene,INTERLEUKIN-8 PRECURSOR,MYL1 Myosin light chain (alkali),ITGAX Integrin; alpha X (antigen CD11C (p150); alpha polypeptide),PFC Properdin P factor; complement,Thymopoietin beta mRNA,Epb72 gene exon 1,HOX 2.2 gene extracted from Human Hox2.2 gene for a homeobox protein,Lysozyme gene (EC 3.2.1.17),CD19 CD19 antigen,Transcriptional activator hSNF2b
23,-87,43,596,85,813,3729,9,-47,108,425,803,-85,672,1297,740,30,22,-275,321,3796,1177,493,870,74,146,585,731,366,431,-36,178,142,2443,172,862,-108,767,1601,1992,1010,3085,148,146,376,613,121,334,417,463,1525,53,1377
28,-44,297,6718,16,449,16705,679,456,316,1073,1929,159,2702,4214,13895,373,313,-21,323,1283,548,107,-2,238,384,7113,1641,822,3077,64,7858,2,1203,28,596,2224,832,1238,893,1098,794,10476,15202,300,1147,1179,91,2274,590,1953,-64,429
29,-21,190,1766,-17,65,11012,1305,259,555,6962,1647,5824,1736,2558,1908,550,243,6569,125,1525,19615,150,412,217,179,3717,2545,1137,6000,35,8859,-23,1561,178,309,3348,294,967,624,293,1312,1653,3104,237,478,868,58,2195,1454,4063,35,314
30,-33,326,4915,-16,172,18372,2694,487,1130,14555,2112,7142,3553,8793,11990,425,229,7372,158,811,9994,-1,343,213,651,11618,3818,1050,5065,-5,11003,-49,1628,12,313,6218,148,1365,388,232,485,2971,6506,100,2279,1537,15,478,773,6612,-139,208
31,-41,197,2056,60,239,12276,1028,554,1338,7238,1555,499,3255,4630,9866,82,132,4833,295,1032,7791,31,272,283,469,1262,2943,1157,7260,23,5849,-10,1784,115,275,1548,309,1568,432,640,408,688,2096,192,754,1675,61,983,732,7821,-5,385
32,9,259,4136,34,683,19173,2680,462,774,12339,1514,1853,4249,7373,10899,619,230,141,368,1024,976,210,306,264,328,3088,2535,1083,2027,59,3259,-36,1214,136,311,3297,259,1843,706,650,1047,7108,12715,339,978,657,50,1017,704,5778,-49,688
33,-107,100,4126,-44,153,21498,3223,672,443,3654,2693,6704,1871,2771,14090,864,282,2000,110,1827,4108,-94,19,304,133,5749,1373,1099,3072,33,8855,-212,1583,63,19,3482,256,936,736,382,335,13176,21147,59,1690,562,0,1999,1012,13076,18,248
34,-105,355,3127,6,12,12406,1674,405,1450,1537,1811,394,3236,5587,13338,59,179,4830,263,498,13464,56,711,293,427,4719,2402,652,5878,35,8518,-75,782,181,279,2947,238,2271,302,558,1126,3693,8054,153,1702,1338,34,727,969,4192,-11,454
35,-67,295,853,-7,218,7855,735,327,781,1481,1406,72,1125,3909,2306,72,214,-312,226,165,1233,168,654,322,288,1106,2137,262,2140,79,3628,-2,490,74,336,1050,382,1082,201,391,880,-45,216,19,1137,565,48,1639,428,2327,67,391
36,-43,283,6159,22,8,24521,2727,485,970,17863,1707,5940,4647,12358,21135,692,179,4573,87,1309,7955,-73,-14,337,295,5868,3965,618,5162,71,10603,-26,1648,202,194,4863,245,2007,667,342,473,11517,17022,88,2014,2892,74,1096,967,15761,-47,412
37,-45,311,5503,-32,-80,21277,2399,415,408,13296,2072,6247,3808,7125,12115,672,330,6759,183,852,9933,-53,218,417,224,6903,2539,805,2887,14,8479,-84,528,4,130,2612,267,802,697,570,186,12979,19361,139,2683,157,52,3397,882,13087,-21,393
38,-42,70,2083,-16,201,20124,784,582,275,1661,1753,6530,3594,2275,5902,307,407,1569,111,1484,2676,62,251,271,230,7061,2286,673,4681,64,1285,-263,99,-25,51,1671,342,939,721,405,680,5072,10043,75,974,-245,33,4465,758,1663,-18,286
